tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-2205,Noumea,Hard,32,C,20241230,1,TF58,,,Yusuke Takahashi,R,170.0,JPN,27.203,ME82,1.0,,Adrian Mannarino,L,180.0,FRA,36.504,6-3 6-0,3,R32,68.0,2.0,1.0,48.0,32.0,23.0,11.0,8.0,1.0,1.0,0.0,4.0,53.0,35.0,17.0,8.0,7.0,7.0,11.0,530.0,71.0,70.0,810.0
2025-2205,Noumea,Hard,32,C,20241230,2,F724,2.0,,Marton Fucsovics,R,188.0,HUN,32.893,CL84,,,Francisco Cabral,R,191.0,POR,27.975,6-2 6-3,3,R32,65.0,3.0,2.0,46.0,24.0,21.0,14.0,8.0,3.0,3.0,2.0,4.0,55.0,30.0,19.0,10.0,9.0,4.0,8.0,50.0,1009.0,1472.0,2.0
2025-2205,Noumea,Hard,32,C,20241230,3,I0B0,,,Andre Ilagan,L,173.0,USA,,D0C1,3.0,,Jesper De Jong,R,180.0,NED,24.583,6-4 7-6(5),3,R32,98.0,4.0,0.0,76.0,57.0,42.0,11.0,11.0,5.0,6.0,10.0,3.0,61.0,32.0,25.0,17.0,11.0,0.0,2.0,346.0,142.0,88.0,673.0
2025-2205,Noumea,Hard,32,C,20241230,4,VA25,4.0,,Valentin Vacherot,R,193.0,MON,26.122,H0BA,,,Shinji Hazawa,R,175.0,JPN,,6-3 6-4,3,R32,81.0,11.0,2.0,64.0,43.0,32.0,12.0,10.0,3.0,4.0,2.0,2.0,51.0,36.0,24.0,5.0,9.0,1.0,4.0,27.0,1611.0,1079.0,11.0
2025-2205,Noumea,Hard,32,C,20241230,5,B0EK,,,Moerani Bouzige,R,180.0,AUS,,M0K4,5.0,,Elmer Moller,R,183.0,DEN,21.478,4-6 6-3 6-3,3,R32,123.0,2.0,4.0,88.0,61.0,39.0,13.0,14.0,5.0,9.0,6.0,7.0,103.0,63.0,39.0,17.0,14.0,10.0,16.0,464.0,95.0,120.0,509.0
2025-2205,Noumea,Hard,32,C,20241230,6,R09X,6.0,,Jurij Rodionov,L,191.0,AUT,25.626,B0NU,,,Blake Bayldon,L,183.0,AUS,,6-4 6-2,3,R32,68.0,7.0,2.0,51.0,33.0,27.0,11.0,9.0,1.0,1.0,3.0,2.0,57.0,33.0,22.0,9.0,9.0,2.0,5.0,170.0,350.0,1613.0,2.0
2025-2205,Noumea,Hard,32,C,20241230,7,BO10,7.0,,Gijs Brouwer,L,191.0,NED,28.797,TA46,,,Bernard Tomic,R,196.0,AUS,32.192,6-4 6-1,3,R32,62.0,7.0,1.0,56.0,47.0,33.0,4.0,9.0,4.0,5.0,3.0,2.0,50.0,26.0,19.0,7.0,8.0,3.0,7.0,176.0,326.0,194.0,313.0
2025-2205,Noumea,Hard,32,C,20241230,8,LB66,8.0,,Constant Lestienne,R,180.0,FRA,32.605,DC38,,,Jake Delaney,R,185.0,AUS,,6-3 6-3,3,R32,76.0,3.0,1.0,65.0,41.0,28.0,11.0,9.0,5.0,7.0,4.0,3.0,51.0,28.0,15.0,11.0,9.0,3.0,8.0,188.0,307.0,469.0,93.0
2025-2205,Noumea,Hard,32,C,20241230,9,C0LM,,,Charlie Camus,L,175.0,FRA,,O09T,,,Kosuke Ogura,R,170.0,JPN,,6-2 6-1,3,R32,59.0,4.0,0.0,40.0,23.0,17.0,6.0,7.0,1.0,3.0,4.0,3.0,55.0,31.0,13.0,6.0,8.0,4.0,11.0,1036.0,13.0,736.0,35.0
2025-2205,Noumea,Hard,32,C,20241230,10,CG94,,,Enzo Couacaud,R,183.0,FRA,29.834,P0ED,,,Kiranpal Pannu,R,185.0,NZL,27.978,4-6 6-4 6-1,3,R32,127.0,20.0,4.0,85.0,48.0,38.0,17.0,13.0,7.0,9.0,6.0,3.0,89.0,53.0,33.0,17.0,14.0,6.0,11.0,206.0,277.0,491.0,80.0
2025-2205,Noumea,Hard,32,C,20241230,11,H09N,,,August Holmgren,R,188.0,DEN,26.691,H0LS,,,Courte Heremana,R,,FRA,,6-1 6-2,3,R32,69.0,5.0,0.0,39.0,27.0,23.0,9.0,8.0,0.0,0.0,2.0,4.0,68.0,44.0,26.0,6.0,7.0,13.0,17.0,199.0,303.0,,
